Name,Domain,Indicator,Year,GeogID,Absolute_Threshold,Heat_Metric,Month,Measure,Value,ts,measureName,indicatorName,contentAreaName
GILA,CC,79,2013,4007,90 degrees F,Daily Maximum Temperature,ALL,423,57,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
GRAHAM,CC,79,2013,4009,90 degrees F,Daily Maximum Temperature,ALL,423,98,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
GREENLEE,CC,79,2013,4011,90 degrees F,Daily Maximum Temperature,ALL,423,77,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
LA PAZ,CC,79,2013,4012,90 degrees F,Daily Maximum Temperature,ALL,423,142,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
MARICOPA,CC,79,2013,4013,90 degrees F,Daily Maximum Temperature,ALL,423,144,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
MOHAVE,CC,79,2013,4015,90 degrees F,Daily Maximum Temperature,ALL,423,118,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
NAVAJO,CC,79,2013,4017,90 degrees F,Daily Maximum Temperature,ALL,423,17,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
PIMA,CC,79,2013,4019,90 degrees F,Daily Maximum Temperature,ALL,423,115,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
PINAL,CC,79,2013,4021,90 degrees F,Daily Maximum Temperature,ALL,423,136,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
SANTA CRUZ,CC,79,2013,4023,90 degrees F,Daily Maximum Temperature,ALL,423,48,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
YAVAPAI,CC,79,2013,4025,90 degrees F,Daily Maximum Temperature,ALL,423,37,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
YUMA,CC,79,2013,4027,90 degrees F,Daily Maximum Temperature,ALL,423,146,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
