Name,Domain,Indicator,Year,GeogID,Month,Measure,Value,ts,measureName,indicatorName,contentAreaName
PINAL,HSI,67,2016-2018,4021,ALL,370,38,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
PINAL,HSI,67,2016-2018,4021,ALL,370,38,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
SANTA CRUZ,HSI,67,2016-2018,4023,ALL,370,0,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
SANTA CRUZ,HSI,67,2016-2018,4023,ALL,370,0,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
YUMA,HSI,67,2016-2018,4027,ALL,370,19,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
YUMA,HSI,67,2016-2018,4027,ALL,370,19,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
ARIZONA,HSI,67,2016-2018,ALL,ALL,370,37.933333,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
ARIZONA,HSI,67,2016-2018,ALL,ALL,370,37.933333,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
APACHE,HSI,67,2017-2019,4001,ALL,370,7,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
APACHE,HSI,67,2017-2019,4001,ALL,370,7,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
COCONINO,HSI,67,2017-2019,4005,ALL,370,6,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
COCONINO,HSI,67,2017-2019,4005,ALL,370,6,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
GREENLEE,HSI,67,2017-2019,4011,ALL,370,0,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
GREENLEE,HSI,67,2017-2019,4011,ALL,370,0,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
MARICOPA,HSI,67,2017-2019,4013,ALL,370,382,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
MARICOPA,HSI,67,2017-2019,4013,ALL,370,382,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
MOHAVE,HSI,67,2017-2019,4015,ALL,370,61,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
MOHAVE,HSI,67,2017-2019,4015,ALL,370,61,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
PIMA,HSI,67,2017-2019,4019,ALL,370,25,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
PIMA,HSI,67,2017-2019,4019,ALL,370,25,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
PINAL,HSI,67,2017-2019,4021,ALL,370,49,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
PINAL,HSI,67,2017-2019,4021,ALL,370,49,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
SANTA CRUZ,HSI,67,2017-2019,4023,ALL,370,0,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
SANTA CRUZ,HSI,67,2017-2019,4023,ALL,370,0,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
YUMA,HSI,67,2017-2019,4027,ALL,370,17,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
YUMA,HSI,67,2017-2019,4027,ALL,370,17,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
ARIZONA,HSI,67,2017-2019,ALL,ALL,370,40.933333,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
ARIZONA,HSI,67,2017-2019,ALL,ALL,370,40.933333,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
APACHE,HSI,67,2018-2020,4001,ALL,370,11,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
APACHE,HSI,67,2018-2020,4001,ALL,370,11,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
COCONINO,HSI,67,2018-2020,4005,ALL,370,6,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
COCONINO,HSI,67,2018-2020,4005,ALL,370,6,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
GILA,HSI,67,2018-2020,4007,ALL,370,8,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
GILA,HSI,67,2018-2020,4007,ALL,370,8,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
GREENLEE,HSI,67,2018-2020,4011,ALL,370,0,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
GREENLEE,HSI,67,2018-2020,4011,ALL,370,0,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
LA PAZ,HSI,67,2018-2020,4012,ALL,370,6,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
LA PAZ,HSI,67,2018-2020,4012,ALL,370,6,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
MARICOPA,HSI,67,2018-2020,4013,ALL,370,460,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
MARICOPA,HSI,67,2018-2020,4013,ALL,370,460,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
MOHAVE,HSI,67,2018-2020,4015,ALL,370,80,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
MOHAVE,HSI,67,2018-2020,4015,ALL,370,80,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
NAVAJO,HSI,67,2018-2020,4017,ALL,370,6,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
NAVAJO,HSI,67,2018-2020,4017,ALL,370,6,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
PIMA,HSI,67,2018-2020,4019,ALL,370,42,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
PIMA,HSI,67,2018-2020,4019,ALL,370,42,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
PINAL,HSI,67,2018-2020,4021,ALL,370,60,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
PINAL,HSI,67,2018-2020,4021,ALL,370,60,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
SANTA CRUZ,HSI,67,2018-2020,4023,ALL,370,0,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
SANTA CRUZ,HSI,67,2018-2020,4023,ALL,370,0,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
YAVAPAI,HSI,67,2018-2020,4025,ALL,370,6,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
YAVAPAI,HSI,67,2018-2020,4025,ALL,370,6,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
YUMA,HSI,67,2018-2020,4027,ALL,370,32,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
YUMA,HSI,67,2018-2020,4027,ALL,370,32,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
ARIZONA,HSI,67,2018-2020,ALL,ALL,370,51.4,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
ARIZONA,HSI,67,2018-2020,ALL,ALL,370,51.4,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
APACHE,HSI,67,2019-2021,4001,ALL,370,10,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
APACHE,HSI,67,2019-2021,4001,ALL,370,10,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
COCONINO,HSI,67,2019-2021,4005,ALL,370,6,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
COCONINO,HSI,67,2019-2021,4005,ALL,370,6,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
GILA,HSI,67,2019-2021,4007,ALL,370,9,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
GILA,HSI,67,2019-2021,4007,ALL,370,9,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
GREENLEE,HSI,67,2019-2021,4011,ALL,370,0,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
GREENLEE,HSI,67,2019-2021,4011,ALL,370,0,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
MARICOPA,HSI,67,2019-2021,4013,ALL,370,621,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
MARICOPA,HSI,67,2019-2021,4013,ALL,370,621,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
MOHAVE,HSI,67,2019-2021,4015,ALL,370,121,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
MOHAVE,HSI,67,2019-2021,4015,ALL,370,121,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
NAVAJO,HSI,67,2019-2021,4017,ALL,370,7,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
NAVAJO,HSI,67,2019-2021,4017,ALL,370,7,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
PIMA,HSI,67,2019-2021,4019,ALL,370,45,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
PIMA,HSI,67,2019-2021,4019,ALL,370,45,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
PINAL,HSI,67,2019-2021,4021,ALL,370,61,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
PINAL,HSI,67,2019-2021,4021,ALL,370,61,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
SANTA CRUZ,HSI,67,2019-2021,4023,ALL,370,0,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
SANTA CRUZ,HSI,67,2019-2021,4023,ALL,370,0,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
YAVAPAI,HSI,67,2019-2021,4025,ALL,370,9,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
YAVAPAI,HSI,67,2019-2021,4025,ALL,370,9,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
YUMA,HSI,67,2019-2021,4027,ALL,370,46,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
YUMA,HSI,67,2019-2021,4027,ALL,370,46,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
ARIZONA,HSI,67,2019-2021,ALL,ALL,370,1,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
ARIZONA,HSI,67,2019-2021,ALL,ALL,370,1,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
ARIZONA,HSI,67,2019-2021,ALL,ALL,370,65.933333,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
ARIZONA,HSI,67,2019-2021,ALL,ALL,370,65.933333,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
