county,year,county_id,number_of_visits
MARICOPA,2017,4013,35.8
MARICOPA,2017,4013,35.8
MOHAVE,2017,4015,93.18
MOHAVE,2017,4015,93.18
ARIZONA,2018,ALL,36.69
ARIZONA,2018,ALL,36.69
PIMA,2016,4019,27.72
PIMA,2016,4019,27.72
PINAL,2016,4021,45.11
PINAL,2016,4021,45.11
COCHISE,2018,4003,29.76
COCHISE,2018,4003,29.76
COCONINO,2018,4005,17.99
COCONINO,2018,4005,17.99
GILA,2018,4007,51.43
GILA,2018,4007,51.43
GRAHAM,2018,4009,37.71
GRAHAM,2018,4009,37.71
LA PAZ,2018,4012,153.14
LA PAZ,2018,4012,153.14
YAVAPAI,2019,4025,20.57
YAVAPAI,2019,4025,20.57
YUMA,2019,4027,105.4
YUMA,2019,4027,105.4
ARIZONA,2019,ALL,35.42
ARIZONA,2019,ALL,35.42
APACHE,2018,4001,9.74
APACHE,2018,4001,9.74
LA PAZ,2019,4012,47.54
LA PAZ,2019,4012,47.54
MARICOPA,2019,4013,33.65
MARICOPA,2019,4013,33.65
MOHAVE,2019,4015,67.93
MOHAVE,2019,4015,67.93
NAVAJO,2019,4017,10.83
NAVAJO,2019,4017,10.83
PIMA,2019,4019,28.25
PIMA,2019,4019,28.25
PINAL,2019,4021,49.15
PINAL,2019,4021,49.15
SANTA CRUZ,2019,4023,29.52
SANTA CRUZ,2019,4023,29.52
GRAHAM,2020,4009,50.56
GRAHAM,2020,4009,50.56
LA PAZ,2020,4012,108.59
LA PAZ,2020,4012,108.59
MOHAVE,2018,4015,89.59
MOHAVE,2018,4015,89.59
NAVAJO,2018,4017,11.98
NAVAJO,2018,4017,11.98
PIMA,2018,4019,31.27
PIMA,2018,4019,31.27
PINAL,2018,4021,52.56
PINAL,2018,4021,52.56
SANTA CRUZ,2018,4023,18.86
SANTA CRUZ,2018,4023,18.86
YAVAPAI,2018,4025,22.58
YAVAPAI,2018,4025,22.58
YUMA,2018,4027,104.34
YUMA,2018,4027,104.34
PINAL,2020,4021,45.5
PINAL,2020,4021,45.5
SANTA CRUZ,2020,4023,15.26
SANTA CRUZ,2020,4023,15.26
YAVAPAI,2020,4025,16.87
YAVAPAI,2020,4025,16.87
APACHE,2019,4001,14.05
APACHE,2019,4001,14.05
COCHISE,2019,4003,34.02
COCHISE,2019,4003,34.02
COCONINO,2019,4005,12.94
COCONINO,2019,4005,12.94
GILA,2019,4007,59.0
GILA,2019,4007,59.0
GRAHAM,2019,4009,35.23
GRAHAM,2019,4009,35.23
YUMA,2020,4027,51.69
YUMA,2020,4027,51.69
ARIZONA,2020,ALL,28.52
ARIZONA,2020,ALL,28.52
APACHE,2021,4001,17.89
APACHE,2021,4001,17.89
COCHISE,2021,4003,25.05
COCHISE,2021,4003,25.05
APACHE,2020,4001,10.55
APACHE,2020,4001,10.55
COCHISE,2020,4003,22.42
COCHISE,2020,4003,22.42
COCONINO,2020,4005,17.0
COCONINO,2020,4005,17.0
GILA,2020,4007,48.87
GILA,2020,4007,48.87
COCONINO,2021,4005,15.4
COCONINO,2021,4005,15.4
GILA,2021,4007,45.21
GILA,2021,4007,45.21
GRAHAM,2021,4009,32.62
GRAHAM,2021,4009,32.62
LA PAZ,2021,4012,302.61
LA PAZ,2021,4012,302.61
MARICOPA,2021,4013,32.39
MARICOPA,2021,4013,32.39
MOHAVE,2021,4015,83.5
MOHAVE,2021,4015,83.5
MARICOPA,2020,4013,27.36
MARICOPA,2020,4013,27.36
MOHAVE,2020,4015,68.74
MOHAVE,2020,4015,68.74
NAVAJO,2020,4017,19.3
NAVAJO,2020,4017,19.3
PIMA,2020,4019,20.2
PIMA,2020,4019,20.2
NAVAJO,2021,4017,20.2
NAVAJO,2021,4017,20.2
PIMA,2021,4019,22.65
PIMA,2021,4019,22.65
PINAL,2021,4021,42.39
PINAL,2021,4021,42.39
SANTA CRUZ,2021,4023,40.66
SANTA CRUZ,2021,4023,40.66
YAVAPAI,2021,4025,28.35
YAVAPAI,2021,4025,28.35
YUMA,2021,4027,82.7
YUMA,2021,4027,82.7
ARIZONA,2021,ALL,33.88
ARIZONA,2021,ALL,33.88
