county,year,county_id,number_of_deaths
ARIZONA,2016-2018,ALL,37.933333
APACHE,2017-2019,4001,7.0
APACHE,2017-2019,4001,7.0
COCONINO,2017-2019,4005,6.0
COCONINO,2017-2019,4005,6.0
GREENLEE,2017-2019,4011,0.0
GREENLEE,2017-2019,4011,0.0
MARICOPA,2017-2019,4013,382.0
MARICOPA,2017-2019,4013,382.0
MOHAVE,2017-2019,4015,61.0
MOHAVE,2017-2019,4015,61.0
PIMA,2017-2019,4019,25.0
PIMA,2017-2019,4019,25.0
PINAL,2017-2019,4021,49.0
PINAL,2017-2019,4021,49.0
SANTA CRUZ,2017-2019,4023,0.0
SANTA CRUZ,2017-2019,4023,0.0
YUMA,2017-2019,4027,17.0
YUMA,2017-2019,4027,17.0
ARIZONA,2017-2019,ALL,40.933333
ARIZONA,2017-2019,ALL,40.933333
APACHE,2018-2020,4001,11.0
APACHE,2018-2020,4001,11.0
COCONINO,2018-2020,4005,6.0
COCONINO,2018-2020,4005,6.0
GILA,2018-2020,4007,8.0
GILA,2018-2020,4007,8.0
GREENLEE,2018-2020,4011,0.0
GREENLEE,2018-2020,4011,0.0
LA PAZ,2018-2020,4012,6.0
LA PAZ,2018-2020,4012,6.0
MARICOPA,2018-2020,4013,460.0
MARICOPA,2018-2020,4013,460.0
MOHAVE,2018-2020,4015,80.0
MOHAVE,2018-2020,4015,80.0
NAVAJO,2018-2020,4017,6.0
NAVAJO,2018-2020,4017,6.0
PIMA,2018-2020,4019,42.0
PIMA,2018-2020,4019,42.0
PINAL,2018-2020,4021,60.0
PINAL,2018-2020,4021,60.0
SANTA CRUZ,2018-2020,4023,0.0
SANTA CRUZ,2018-2020,4023,0.0
YAVAPAI,2018-2020,4025,6.0
YAVAPAI,2018-2020,4025,6.0
YUMA,2018-2020,4027,32.0
YUMA,2018-2020,4027,32.0
ARIZONA,2018-2020,ALL,51.4
ARIZONA,2018-2020,ALL,51.4
APACHE,2019-2021,4001,10.0
APACHE,2019-2021,4001,10.0
COCONINO,2019-2021,4005,6.0
COCONINO,2019-2021,4005,6.0
GILA,2019-2021,4007,9.0
GILA,2019-2021,4007,9.0
GREENLEE,2019-2021,4011,0.0
GREENLEE,2019-2021,4011,0.0
MARICOPA,2019-2021,4013,621.0
MARICOPA,2019-2021,4013,621.0
MOHAVE,2019-2021,4015,121.0
MOHAVE,2019-2021,4015,121.0
NAVAJO,2019-2021,4017,7.0
NAVAJO,2019-2021,4017,7.0
PIMA,2019-2021,4019,45.0
PIMA,2019-2021,4019,45.0
PINAL,2019-2021,4021,61.0
PINAL,2019-2021,4021,61.0
SANTA CRUZ,2019-2021,4023,0.0
SANTA CRUZ,2019-2021,4023,0.0
YAVAPAI,2019-2021,4025,9.0
YAVAPAI,2019-2021,4025,9.0
YUMA,2019-2021,4027,46.0
YUMA,2019-2021,4027,46.0
ARIZONA,2019-2021,ALL,1.0
ARIZONA,2019-2021,ALL,1.0
ARIZONA,2019-2021,ALL,65.933333
ARIZONA,2019-2021,ALL,65.933333
